,Style,Link,Brand,Dress name,Price,Price Category,Color,Fabric,Outer fabric material,Lining,Care instructions,Collar,Cut,Fastening,Type of dress,Neckline,Consolidated Prints,Details,Dress length,Sleeve length,Consolidated sleeve length,Total length,Fit,Consolidated fit,Our model's height,Back width,Sheer?,Pockets?,Rhinestones?,Shoulderpads?,Backless?,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55
10,edgy,https://www.zalando.co.uk/2nd-day-loretta-crispy-day-dress-lark-s3821c068-b11.html,2nd Day,"LORETTA CRISPY ",94.99,3,brown,Cotton,100% cotton,Unknown,"Do not tumble dry, machine wash at 30Â°C",Unknown,Unknown,Button,Unknown,Round neckline,Plain,Unknown,Short,Short,Short,"36.0 "" (Size 8)",Loose Fit,Loose fit,Unknown,"16.5 "" (Size 8)",No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
11,classic,https://www.zalando.co.uk/maxandco-damerino-cocktail-dress-party-dress-black-mq921c0ba-q11.html,MAX&Co.,"DAMERINO ",199.99,4,black,Polyester,"97% polyester, 3% elastane",100% polyester,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Unknown,Unknown,Zip,Unknown,Low v-neck,Plain,Unknown,Calf length,"23.5 "" (Size S)",Long,"44.5 "" (Size S)",Regular Fit,Regular fit,Unknown,Unknown,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
12,trendy,https://www.zalando.co.uk/rich-and-royal-dress-long-printed-day-dress-scarlet-red-ri521c04x-g11.html,Rich & Royal,"DRESS LONG PRINTED ",104.99,3,red,Jersey,"65% modal, 30% polyester, 5% elastane",Unknown,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Unknown,Unknown,Unknown,Unknown,Round neckline,Prints in general,Unknown,Calf length,"24.5 "" (Size S)",Long,"49.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size S",Unknown,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
13,classic,https://www.zalando.co.uk/seidensticker-malia-day-dress-dunkelblau-3se21c01l-k11.html,Seidensticker,"MALIA  ",109.99,3,navy,Linnen,100% linen,Unknown,Unknown,Mandarin collar,Unknown,Unknown,Unknown,Low v-neck,Plain,Inseam pockets,Knee length,Short,Short,"38.5 "" (Size 10)",Unknown,Unknown,"Our model is 5' 10""  tall and is wearing size 10","16.5 "" (Size 10)",Yes,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
14,trendy,https://www.zalando.co.uk/vero-moda-vmboa-highneck-short-dress-shirt-dress-pine-grove-ve121c2e2-m11.html,Vero Moda,Day dress,26.34,1,black,Polyester,100% polyester,Unknown,"Do not tumble dry, machine wash at 30Â°C, Dry cleanable, Do not bleach",Standing collar,Unknown,Button,Accentuating the waist,Round neckline,Plain,Belt included,Short,Long,Long,Unknown,Regular Fit,Regular fit,"Our model is 5' 9""  tall and is wearing size S",Unknown,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
15,sporty,https://www.zalando.co.uk/superdry-day-dress-black-su221c0ng-q11.html,Superdry,"STRAP BACK  ",34.99,1,black,Polyester,"58% modal, 42% polyester",Unknown,"Do not bleach, do not tumble dry",Unknown,Unknown,Unknown,Unknown,Boat neckline (wide),Plain,Unknown,Maxi/long,Sleeveless,Sleeveless,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
16,alternative,https://www.zalando.co.uk/soft-rebels-ulrikke-dress-day-dress-mahogany-r6721c06q-o11.html,Soft Rebels,"ULRIKKE DRESS ",69.99,2,dusty pink,Polyester,"73% modal, 27% polyester",Unknown,"Machine wash at 40Â°C, do not tumble dry, Machine wash on gentle cycle",Unknown,Unknown,Unknown,Unknown,Round neckline,Plain,Unknown,Knee length,"18.5 "" (Size S)",Elbow length,"38.0 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 10""  tall and is wearing size S",Unknown,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
17,trendy,https://www.zalando.co.uk/anna-field-day-dress-black-an621c1i6-q12.html,Anna Field,Jersey dress,28.99,1,black,Jersey,"95% polyester, 5% elastane",Unknown,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Unknown,Unknown,Unknown,Accentuating the waist,Round neckline,Plain,"Belt included, elasticated waist",Knee length,Spaghetti straps,Spaghetti straps,"41.5 "" (Size S)",Slim Fit,Slim fit,"Our model is 5' 9""  tall and is wearing size S",Unknown,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
18,edgy,https://www.zalando.co.uk/2nd-day-spin-day-dress-black-s3821c05s-q11.html,2nd Day,"SPIN  ",179.99,4,black,Polyester,100% polyester,Unknown,"Do not tumble dry, Hand wash only",Standing collar,Unknown,Unknown,Unknown,Round neckline,Plain,Unknown,Short,"23.5 "" (Size 8)",Long,"37.0 "" (Size 8)",Slim Fit,Slim fit,"Our model is 5' 11""  tall and is wearing size 8","14.5 "" (Size 8)",No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
19,classic,https://www.zalando.co.uk/mango-marte2-day-dress-kaki-m9121c5kw-n11.html,Mango,"MARTE2 ",49.99,2,army green,Linnen,"83% modal, 17% polyester",Unknown,"Do not tumble dry, machine wash at 30Â°C, Dry cleanable",Unknown,Unknown,Button,Unknown,Low v-neck,Plain,Unknown,Calf length,Extra short,Short,Unknown,Regular Fit,Regular fit,Unknown,Unknown,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
20,casual chic,https://www.zalando.co.uk/only-onlhanna-smock-dress-day-dress-multi-coloured-on321c2p4-c11.html,",Only","ONLHANNA SMOCK DRESS ",29.74,1,multi-coloured,Chiffon,100% polyester,100% polyester,"Machine wash at 40Â°C, do not tumble dry, Machine wash on gentle cycle",Unknown,Unknown,Button,Unknown,Round neckline,Floral,"Elasticated waist, slip",Knee length,"23.0 "" (Size S)",Long,"36.0 "" (Size S)",Regular Fit,Regular fit,Unknown,"14.5 "" (Size S)",No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
21,sporty,https://www.zalando.co.uk/evenandodd-2-pack-day-dress-blackgrey-ev421c158-q13.html,Even&Odd,"2 PACK ",24.99,1,black/grey,Jersey,100% cotton,Unknown,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",Unknown,Unknown,Unknown,Unknown,Round neckline,Prints in general,Unknown,Knee length,Elbow length,Elbow length,"32.0 "" (Size S)",Loose Fit,Loose fit,Unknown,Unknown,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
22,casual chic,https://www.zalando.co.uk/jdy-jdyivy-mathilde-dress-day-dress-mottled-dark-grey-jy121c0px-c11.html,JDY,"JDYIVY MATHILDE DRESS ",16.14,1,grey,Sweat,"63% polyester, 37% cotton",Unknown,"Machine wash at 40Â°C, do not tumble dry, A shrinkage of up to 5% may occur",Unknown,Unknown,Unknown,Unknown,Round neckline,Plain,Unknown,Short,"25.5 "" (Size S)",Long,"33.5 "" (Size S)",Loose Fit,Loose fit,"Our model is 5' 9""  tall and is wearing size S",Unknown,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
23,girly,https://www.zalando.co.uk/fiorucci-alpine-angels-mini-bodice-dress-cocktail-dress-party-dress-multi-fi921c00k-t11.html,Fiorucci,"ALPINE ANGELS MINI BODICE DRESS ",194.99,4,bright multi-coloured,Polyester,"97% polyester, 3% elastane",Unknown,"Do not tumble dry, machine wash at 30Â°C",Unknown,Unknown,Zip,Bodycon dresses,Square neckline,Prints in general,"Wired bustier, bow",Extra short,"23.0 "" (Size S)",Long,"28.5 "" (Size S)",Bodycon,Slim fit,"Our model is 5' 11""  tall and is wearing size S","15.0 "" (Size S)",No,No,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
24,sporty,https://www.zalando.co.uk/jdy-jdyivy-dress-day-dress-lavendula-jy121c0dg-i11.html,JDY,"JDYIVY DRESS ",17.99,1,pastel purple,Sweat,"62% cotton, 38% polyester",Unknown,"Machine wash at 40Â°C, do not tumble dry",Unknown,Unknown,Unknown,Unknown,Round neckline,Plain,Unknown,Knee length,Short,Short,"38.0 "" (Size S)",Regular Fit,Regular fit,"Our model is 5' 10""  tall and is wearing size S",Unknown,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
