link,heading1,description,day dress,category,price,color,Bottom part material,Contains non-textile parts of animal origin,Fabric,Sheer,Outer fabric material,Lining,Care instructions,Collar,Cut,Pockets,Fastening,Neckline,Pattern,Details,Article number,Length,Sleeve length,Total length,Fit,Our model's height,Back width,Sleeve length,Jacket length,Top part material,Filling,Insert material,Sleeves material,Back material,Middle part material,Outer leg length,Licensed characters,Front material,Sport,,,,,,,,,,,,,,,,,
https://www.zalando.co.uk/superdry-day-dress-optic-su221c0nq-k11.html,Superdry,TEXTURED , Day dress,summer-dresses,Â£34.99,optic,--,--,--,--,"58% linen, 42% viscose",--,"Do not bleach, do not tumble dry",--,--,--,--,Crew neck,--,--,SU221C0NQ-K11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/superdry-day-dress-optic-su221c0nq-k11.html,Superdry,TEXTURED , Day dress,summer-dresses,Â£34.99,black,--,--,--,--,"58% linen, 42% viscose",--,"Do not bleach, do not tumble dry",--,--,--,--,Crew neck,--,--,SU221C0NQ-K11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/hollister-co-cinch-dress-day-dress-blackyellow-h0421c04u-q11.html,Hollister Co.,CINCH DRESS , Day dress,summer-dresses,Â£22.94,black/yellow,--,--,Jersey,--,"95% cotton, 5% elastane",--,Machine wash at 30Â°C,--,--,--,Hook fasteningÂ ,Cache-coeur,Floral,Bow,H0421C04U-Q11,Short,Short,"32.0 "" (Size S)",Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/hollister-co-cinch-dress-day-dress-blackyellow-h0421c04u-q11.html,Hollister Co.,CINCH DRESS , Day dress,summer-dresses,Â£22.94,navy ditsy,--,--,Jersey,--,"95% cotton, 5% elastane",--,Machine wash at 30Â°C,--,--,--,Hook fasteningÂ ,Cache-coeur,Floral,Bow,H0421C04U-Q11,Short,Short,"32.0 "" (Size S)",Regular Fit,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/jdy-jdypenelope-dress-day-dress-blackgrey-jy121c0kz-q11.html,JDY,JDYPENELOPE DRESS , Day dress,summer-dresses,Â£20.39,black/grey,--,--,Chiffon,--,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur",--,--,--,--,Cache-coeur,Floral,Slip,JY121C0KZ-Q11,Extra short,"24.5 "" (Size 8)","34.5 "" (Size 8)",Loose Fit,--,"14.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/jdy-jdypenelope-dress-day-dress-blackgrey-jy121c0kz-q11.html,JDY,JDYPENELOPE DRESS , Day dress,summer-dresses,Â£20.39,kalamata,--,--,Chiffon,--,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur",--,--,--,--,Cache-coeur,Floral,Slip,JY121C0KZ-Q11,Extra short,"24.5 "" (Size 8)","34.5 "" (Size 8)",Loose Fit,--,"14.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/jdy-jdypenelope-dress-day-dress-blackgrey-jy121c0kz-q11.html,JDY,JDYPENELOPE DRESS , Day dress,summer-dresses,Â£20.39,sea spray/peach,--,--,Chiffon,--,100% polyester,100% polyester,"Do not tumble dry, machine wash at 30Â°C, A shrinkage of up to 5% may occur",--,--,--,--,Cache-coeur,Floral,Slip,JY121C0KZ-Q11,Extra short,"24.5 "" (Size 8)","34.5 "" (Size 8)",Loose Fit,--,"14.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/esprit-collection-ecovero-silkdre-day-dress-grey-blue-es421c1jx-k11.html,Esprit Collection,ECOVERO SILKDRE , Day dress,summer-dresses,From Â£75.00,grey blue,--,--,--,--,100% viscose,--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Cache-coeur,Print,"Belt included, elasticated waist",ES421C1JX-K11,Calf-length,Elbow length,"45.0 "" (Size 10)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 10","15.5 "" (Size 10)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/evenandodd-dress-day-dress-black-grey-white-ev421c17t-q11.html,Even&Odd,DRESS , Day dress,summer-dresses,Â£30.99,black / grey / white,--,--,Rib,--,"95% cotton, 5% elastane",--,"Do not tumble dry, machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,--,Crew neck,Print,--,EV421C17T-Q11,Calf-length,"22.5 "" (Size S)","44.0 "" (Size S)",Bodycon,"Our model is 5' 10""  tall and is wearing size S",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/springfield-vestido-midi-camise-day-dress-dark-blue-fi021c06e-k11.html,Springfield,VESTIDO MIDI CAMISE , Day dress,summer-dresses,Â£43.99,dark blue,--,--,--,--,100% viscose,--,"Machine wash at 30Â°C, Machine wash on gentle cycle",--,--,--,Button,Low-cut v-neck,Floral,Belt included,FI021C06E-K11,Calf-length,"26.5 "" (Size 8)","50.5 "" (Size 8)",Regular Fit,"Our model is 5' 10""  tall and is wearing size 8","13.5 "" (Size 8)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
https://www.zalando.co.uk/derhy-alicante-robe-day-dress-multi-coloured-rd521c0m2-t11.html,Derhy,ALICANTE ROBE , Day dress,summer-dresses,Â£119.99,multi-coloured,--,--,--,--,100% cotton,100% cotton,"Do not tumble dry, Hand wash only",--,--,--,--,Low-cut v-neck,Colourful,"Slip, tassels, rhinestones",RD521C0M2-T11,Knee-length,"24.5 "" (Size S)","38.0 "" (Size S)",Regular Fit,--,"13.5 "" (Size S)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
